bandwidth;positions;euclidean_error;ftms;seed;x_calculated;y_calculated
20;10;0.25;6;32;-0.05375;-0.24599
20;3;1.0;6;33;0.62053;0.78839
20;4;0.28;6;33;-0.0979;0.26757
20;5;0.31;6;33;0.00096;0.30637
20;6;0.31;6;33;-0.00677;0.3076
20;7;0.32;6;33;-0.02437;0.31682
20;8;0.56;6;33;0.20956;0.52145
20;9;0.43;6;33;0.24813;0.35324
20;10;0.48;6;33;0.25131;0.40944
20;3;2.21;6;34;0.44914;-2.16174
20;4;2.84;6;34;0.42113;-2.80437
20;5;0.59;6;34;0.19302;-0.55364
20;6;0.31;6;34;0.28274;-0.116
20;7;0.31;6;34;0.28271;-0.1148
20;8;0.18;6;34;0.07717;-0.15958
20;9;0.02;6;34;0.00356;-0.02286
20;10;0.09;6;34;-0.03131;0.08749
20;3;0.77;6;35;0.4463;0.62844
20;4;0.79;6;35;0.44967;0.64414
20;5;0.72;6;35;0.35246;0.63106
20;6;0.88;6;35;-0.24609;0.84674
20;7;0.88;6;35;-0.22425;0.85098
20;8;0.72;6;35;-0.31095;0.65337
20;9;0.75;6;35;-0.30552;0.69031
20;10;0.9;6;35;-0.31386;0.83963
20;3;0.34;6;36;0.18869;0.28233
20;4;0.34;6;36;0.19395;0.27904
20;5;0.41;6;36;0.06629;0.40399
20;6;0.45;6;36;0.05386;0.44703
20;7;0.42;6;36;-0.09259;0.408
20;8;0.43;6;36;-0.06564;0.42181
20;9;0.36;6;36;-0.1088;0.34388
20;10;0.24;6;36;0.04316;0.23704
20;3;1.68;6;37;-0.98389;-1.35561
20;4;1.79;6;37;-1.0584;-1.44494
20;5;1.75;6;37;-1.08725;-1.37064
20;6;1.29;6;37;-0.42247;-1.22196
20;7;0.71;6;37;0.38469;-0.60021
20;8;0.7;6;37;0.54229;-0.44918
20;9;0.39;6;37;0.22451;-0.31472
20;10;0.45;6;37;-0.0333;-0.45177
20;3;0.71;6;38;-0.67567;0.20465
20;4;0.16;6;38;-0.04008;-0.15427
20;5;0.15;6;38;0.01174;0.14464
20;6;0.18;6;38;-0.08235;0.15627
20;7;0.29;6;38;0.01663;0.29118
20;8;0.07;6;38;0.03979;0.05164
20;9;0.12;6;38;0.12069;-0.02665
20;10;0.36;6;38;0.31742;-0.16145
20;3;1.04;6;39;0.82252;-0.63991
20;4;0.55;6;39;0.42046;-0.34902
20;5;0.63;6;39;0.62771;-0.08953
20;6;0.64;6;39;0.63682;0.0062
20;7;0.59;6;39;0.57201;-0.1529
20;8;0.49;6;39;0.48902;-0.01279
20;9;0.4;6;39;0.38696;0.10482
20;10;0.3;6;39;0.2932;0.05688
20;3;0.97;6;3;0.95888;-0.13578
20;4;0.7;6;3;0.70077;-0.02316
20;5;0.19;6;3;-0.09362;0.16454
20;6;0.21;6;3;-0.11742;0.17844
20;7;0.35;6;3;-0.34952;0.03461
20;8;0.21;6;3;-0.1841;0.0925
20;9;0.16;6;3;-0.10062;0.12095
20;10;0.09;6;3;-0.05759;0.07234
20;3;0.55;6;40;0.4477;0.31582
20;4;1.03;6;40;0.58887;0.84459
20;5;1.04;6;40;0.54528;0.88146
20;6;0.81;6;40;0.59672;0.55177
20;7;0.77;6;40;0.58899;0.49113
20;8;0.77;6;40;0.57797;0.5018
20;9;0.89;6;40;0.75317;0.47375
20;10;0.81;6;40;0.65093;0.47824
20;3;1.26;6;41;-0.74804;1.01888
20;4;1.17;6;41;-0.14188;1.15996
20;5;1.09;6;41;-0.11594;1.083
20;6;0.82;6;41;-0.27395;0.77591
20;7;0.68;6;41;-0.15025;0.66776
20;8;0.62;6;41;-0.22496;0.57824
20;9;0.63;6;41;-0.20511;0.5976
20;10;0.59;6;41;-0.19907;0.55302
20;3;0.41;6;42;-0.34292;-0.21551
20;4;0.42;6;42;-0.35166;-0.22181
20;5;0.8;6;42;-0.76569;-0.21812
20;6;0.58;6;42;-0.53318;0.22748
20;7;0.4;6;42;-0.35809;0.18664
20;8;0.98;6;42;-0.77906;0.59587
20;9;1.15;6;42;-0.83947;0.7858
20;10;1.17;6;42;-0.90502;0.74909
20;3;0.66;6;43;-0.3358;0.57025
20;4;1.01;6;43;-0.11216;1.00431
20;5;1.05;6;43;-0.14588;1.03854
20;6;0.77;6;43;0.16107;0.75384
20;7;0.7;6;43;0.19698;0.67262
20;8;0.56;6;43;0.10351;0.54983
20;9;0.61;6;43;0.28956;0.53184
20;10;0.6;6;43;0.4628;0.38716
20;3;0.41;6;44;-0.31322;0.26811
20;4;0.66;6;44;-0.33512;0.56312
20;5;0.65;6;44;-0.33553;0.55911
20;6;0.13;6;44;0.12134;-0.04061
20;7;0.07;6;44;0.05248;0.03978
20;8;0.19;6;44;0.09273;0.16693
20;9;0.21;6;44;0.08527;0.19105
20;10;0.2;6;44;0.15412;0.13445
20;3;0.59;6;45;0.0608;-0.58437
20;4;0.29;6;45;-0.29234;-0.0209
20;5;0.3;6;45;-0.29092;-0.06267
20;6;0.24;6;45;-0.22184;-0.08728
20;7;0.04;6;45;-0.03585;0.02151
20;8;0.22;6;45;-0.15721;-0.15038
20;9;0.24;6;45;-0.13923;-0.19234
20;10;0.29;6;45;-0.25883;-0.13688
20;3;1.72;6;46;1.03093;1.37839
20;4;1.65;6;46;1.20967;1.12054
20;5;1.66;6;46;1.16667;1.17905
